,Game,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Developer,ESRB Rating,Composer,Composer Birthday,Composer Rank,Composer Rating,VGMDB Soundtrack Rating,VGMDB Soundtrack Popularity,mp3 Downloads Rank
372,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,905.0
373,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,61.0
374,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,123.0
375,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,459.0
376,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,905.0
377,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,61.0
378,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,123.0
379,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,459.0
380,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,905.0
381,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,61.0
382,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,123.0
383,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,459.0
384,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,905.0
385,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,61.0
386,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,123.0
387,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,459.0
388,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,905.0
389,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,61.0
390,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,123.0
391,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,459.0
392,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,905.0
393,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,61.0
394,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,123.0
395,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,459.0
396,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,905.0
397,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,61.0
398,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,123.0
399,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,459.0
400,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,905.0
401,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,61.0
402,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,123.0
403,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,459.0
404,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,905.0
405,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,61.0
406,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,123.0
407,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,459.0
408,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,905.0
409,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,61.0
410,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,123.0
411,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,459.0
412,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,905.0
413,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,61.0
414,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,123.0
415,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,459.0
416,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,905.0
417,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,61.0
418,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,123.0
419,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,459.0
420,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,905.0
421,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,61.0
422,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,123.0
423,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,459.0
424,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,905.0
425,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,61.0
426,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,123.0
427,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,459.0
428,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,905.0
429,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,61.0
430,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,123.0
431,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,459.0
432,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,905.0
433,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,61.0
434,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,123.0
435,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,459.0
436,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,905.0
437,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,61.0
438,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,123.0
439,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,459.0
440,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,905.0
441,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,61.0
442,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,123.0
443,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,459.0
444,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,905.0
445,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,61.0
446,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,123.0
447,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,459.0
448,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,905.0
449,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,61.0
450,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,123.0
451,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,459.0
452,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,905.0
453,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,61.0
454,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,123.0
455,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,459.0
456,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,905.0
457,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,61.0
458,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,123.0
459,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,459.0
460,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,905.0
461,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,61.0
462,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,123.0
463,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,459.0
464,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,905.0
465,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,61.0
466,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,123.0
467,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,459.0
468,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,905.0
469,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,61.0
470,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,123.0
471,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,459.0
472,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,905.0
473,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,61.0
474,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,123.0
475,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,459.0
476,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,905.0
477,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,61.0
478,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,123.0
479,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,459.0
480,Sonic The Hedgehog,X360,2006,Platform,Sega,46.0,4.4,Sega,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,905.0
481,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,61.0
482,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,123.0
483,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,459.0
484,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,905.0
485,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,61.0
486,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,123.0
487,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,459.0
488,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,905.0
489,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,61.0
490,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,123.0
491,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,459.0
492,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,905.0
493,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,61.0
494,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,123.0
495,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,459.0
496,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,905.0
497,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,61.0
498,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,123.0
499,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,459.0
500,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,905.0
501,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,61.0
502,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,123.0
503,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,459.0
504,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,905.0
505,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,61.0
506,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,123.0
507,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,459.0
508,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,905.0
509,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,61.0
510,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,123.0
511,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,459.0
512,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,905.0
513,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,61.0
514,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,123.0
515,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,459.0
516,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,905.0
517,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,61.0
518,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,123.0
519,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,459.0
520,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,905.0
521,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,61.0
522,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,123.0
523,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,459.0
524,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,905.0
525,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,61.0
526,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,123.0
527,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,459.0
528,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,905.0
529,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,61.0
530,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,123.0
531,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,459.0
532,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,905.0
533,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,61.0
534,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,123.0
535,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,459.0
536,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,905.0
537,Sonic The Hedgehog,PS3,,Platform,,43.0,4.1,Sonic Team,E10+,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,61.0
